Algorithm,ArraySize,ValueRange,ExecutionTime_us,MemoryUsed_bytes,Distribution,EdgeCase
Bucket Sort,2500,100,185,20000,skewed,false
Flash Sort,2500,100,274,20000,skewed,false
Spread Sort,2500,100,448,10000,skewed,false
Counting Sort (Non-Stable),2500,100,12,404,concentrated,false
Counting Sort (Stable),2500,100,9,10404,concentrated,false
Radix Sort (LSD),2500,100,415,20000,concentrated,false
Bucket Sort,2500,100,131,20000,concentrated,false
Flash Sort,2500,100,186,20000,concentrated,false
Spread Sort,2500,100,368,10000,concentrated,false
Counting Sort (Non-Stable),2500,500,17,2004,uniform,false
Counting Sort (Stable),2500,500,8,12004,uniform,false
Radix Sort (LSD),2500,500,353,20000,uniform,false
Bucket Sort,2500,500,309,20000,uniform,false
Flash Sort,2500,500,352,20000,uniform,false
Spread Sort,2500,500,379,10000,uniform,false
Counting Sort (Non-Stable),2500,500,16,2004,normal,false
Counting Sort (Stable),2500,500,8,12004,normal,false
Radix Sort (LSD),2500,500,351,20000,normal,false
Bucket Sort,2500,500,259,20000,normal,false
Flash Sort,2500,500,310,20000,normal,false
Spread Sort,2500,500,368,10000,normal,false
Counting Sort (Non-Stable),2500,500,17,2004,skewed,false
Counting Sort (Stable),2500,500,7,12004,skewed,false
Radix Sort (LSD),2500,500,345,20000,skewed,false
Bucket Sort,2500,500,311,20000,skewed,false
Flash Sort,2500,500,330,20000,skewed,false
Spread Sort,2500,500,378,10000,skewed,false
Counting Sort (Non-Stable),2500,500,11,2004,concentrated,false
Counting Sort (Stable),2500,500,7,12004,concentrated,false
Radix Sort (LSD),2500,500,348,20000,concentrated,false
Bucket Sort,2500,500,148,20000,concentrated,false
Flash Sort,2500,500,202,20000,concentrated,false
Spread Sort,2500,500,364,10000,concentrated,false
Counting Sort (Non-Stable),2500,1000,21,4004,uniform,false
Counting Sort (Stable),2500,1000,7,14004,uniform,false
Radix Sort (LSD),2500,1000,504,20000,uniform,false
Bucket Sort,2500,1000,387,20000,uniform,false
Flash Sort,2500,1000,337,20000,uniform,false
Spread Sort,2500,1000,522,10000,uniform,false
Counting Sort (Non-Stable),2500,1000,21,4004,normal,false
Counting Sort (Stable),2500,1000,7,14004,normal,false
Radix Sort (LSD),2500,1000,506,20000,normal,false
Bucket Sort,2500,1000,492,20000,normal,false
Flash Sort,2500,1000,456,20000,normal,false
Spread Sort,2500,1000,527,10000,normal,false
Counting Sort (Non-Stable),2500,1000,21,4004,skewed,false
Counting Sort (Stable),2500,1000,7,14004,skewed,false
Radix Sort (LSD),2500,1000,502,20000,skewed,false
Bucket Sort,2500,1000,401,20000,skewed,false
Flash Sort,2500,1000,322,20000,skewed,false
Spread Sort,2500,1000,563,10000,skewed,false
Counting Sort (Non-Stable),2500,1000,11,4004,concentrated,false
Counting Sort (Stable),2500,1000,9,14004,concentrated,false
Radix Sort (LSD),2500,1000,567,20000,concentrated,false
Bucket Sort,2500,1000,178,20000,concentrated,false
Flash Sort,2500,1000,265,20000,concentrated,false
Spread Sort,2500,1000,600,10000,concentrated,false
Counting Sort (Non-Stable),2500,5000,56,20004,uniform,false
Counting Sort (Stable),2500,5000,16,30004,uniform,false
Radix Sort (LSD),2500,5000,564,20000,uniform,false
Bucket Sort,2500,5000,462,20000,uniform,false
Flash Sort,2500,5000,376,20000,uniform,false
Spread Sort,2500,5000,587,10000,uniform,false
Counting Sort (Non-Stable),2500,5000,44,20004,normal,false
Counting Sort (Stable),2500,5000,17,30004,normal,false
Radix Sort (LSD),2500,5000,532,20000,normal,false
Bucket Sort,2500,5000,425,20000,normal,false
Flash Sort,2500,5000,359,20000,normal,false
Spread Sort,2500,5000,616,10000,normal,false
Counting Sort (Non-Stable),2500,5000,69,20000,skewed,false
Counting Sort (Stable),2500,5000,32,30000,skewed,false
Radix Sort (LSD),2500,5000,654,20000,skewed,false
Bucket Sort,2500,5000,535,20000,skewed,false
Flash Sort,2500,5000,422,20000,skewed,false
Spread Sort,2500,5000,663,10000,skewed,false
Counting Sort (Non-Stable),2500,5000,36,20004,concentrated,false
Counting Sort (Stable),2500,5000,27,30004,concentrated,false
Radix Sort (LSD),2500,5000,647,20000,concentrated,false
Bucket Sort,2500,5000,391,20000,concentrated,false
Flash Sort,2500,5000,429,20000,concentrated,false
Spread Sort,2500,5000,683,10000,concentrated,false
Counting Sort (Non-Stable),2500,10000,86,39980,uniform,false
Counting Sort (Stable),2500,10000,42,49980,uniform,false
Radix Sort (LSD),2500,10000,660,20000,uniform,false
Bucket Sort,2500,10000,533,20000,uniform,false
Flash Sort,2500,10000,430,20000,uniform,false
Spread Sort,2500,10000,824,10000,uniform,false
Counting Sort (Non-Stable),2500,10000,73,40004,normal,false
Counting Sort (Stable),2500,10000,27,50004,normal,false
Radix Sort (LSD),2500,10000,849,20000,normal,false
Bucket Sort,2500,10000,579,20000,normal,false
Flash Sort,2500,10000,479,20000,normal,false
Spread Sort,2500,10000,1022,10000,normal,false
Counting Sort (Non-Stable),2500,10000,98,40004,skewed,false
Counting Sort (Stable),2500,10000,35,50004,skewed,false
Radix Sort (LSD),2500,10000,1009,20000,skewed,false
Bucket Sort,2500,10000,606,20000,skewed,false
Flash Sort,2500,10000,456,20000,skewed,false
Spread Sort,2500,10000,907,10000,skewed,false
Counting Sort (Non-Stable),2500,10000,86,40004,concentrated,false
Counting Sort (Stable),2500,10000,64,50004,concentrated,false
Radix Sort (LSD),2500,10000,1072,20000,concentrated,false
Bucket Sort,2500,10000,513,20000,concentrated,false
Flash Sort,2500,10000,470,20000,concentrated,false
Spread Sort,2500,10000,882,10000,concentrated,false
Counting Sort (Non-Stable),2500,100000,479,399996,uniform,false
Counting Sort (Stable),2500,100000,278,409996,uniform,false
Radix Sort (LSD),2500,100000,1012,20000,uniform,false
Bucket Sort,2500,100000,704,20000,uniform,false
Flash Sort,2500,100000,506,20000,uniform,false
Spread Sort,2500,100000,286,10000,uniform,false
Counting Sort (Non-Stable),2500,100000,367,400004,normal,false
Counting Sort (Stable),2500,100000,113,410004,normal,false
Radix Sort (LSD),2500,100000,1218,20000,normal,false
Bucket Sort,2500,100000,675,20000,normal,false
Flash Sort,2500,100000,474,20000,normal,false
Spread Sort,2500,100000,283,10000,normal,false
Counting Sort (Non-Stable),2500,100000,347,341244,skewed,false
Counting Sort (Stable),2500,100000,101,351244,skewed,false
Radix Sort (LSD),2500,100000,1080,20000,skewed,false
Bucket Sort,2500,100000,486,20000,skewed,false
Flash Sort,2500,100000,441,20000,skewed,false
Spread Sort,2500,100000,285,10000,skewed,false
Counting Sort (Non-Stable),2500,100000,362,400004,concentrated,false
Counting Sort (Stable),2500,100000,112,410004,concentrated,false
Radix Sort (LSD),2500,100000,1221,20000,concentrated,false
Bucket Sort,2500,100000,732,20000,concentrated,false
Flash Sort,2500,100000,495,20000,concentrated,false
Spread Sort,2500,100000,284,10000,concentrated,false
Counting Sort (Non-Stable),5000,50,27,204,uniform,false
Counting Sort (Stable),5000,50,19,20204,uniform,false
Radix Sort (LSD),5000,50,700,40000,uniform,false
Bucket Sort,5000,50,388,40000,uniform,false
Flash Sort,5000,50,603,40000,uniform,false
Spread Sort,5000,50,663,20000,uniform,false
Counting Sort (Non-Stable),5000,50,26,204,normal,false
Counting Sort (Stable),5000,50,20,20204,normal,false
Radix Sort (LSD),5000,50,609,40000,normal,false
Bucket Sort,5000,50,345,40000,normal,false
Flash Sort,5000,50,572,40000,normal,false
Spread Sort,5000,50,658,20000,normal,false
Counting Sort (Non-Stable),5000,50,33,204,skewed,false
Counting Sort (Stable),5000,50,36,20204,skewed,false
Radix Sort (LSD),5000,50,604,40000,skewed,false
Bucket Sort,5000,50,435,40000,skewed,false
Flash Sort,5000,50,620,40000,skewed,false
Spread Sort,5000,50,658,20000,skewed,false
Counting Sort (Non-Stable),5000,50,26,204,concentrated,false
Counting Sort (Stable),5000,50,20,20204,concentrated,false
Radix Sort (LSD),5000,50,598,40000,concentrated,false
Bucket Sort,5000,50,379,40000,concentrated,false
Flash Sort,5000,50,529,40000,concentrated,false
Spread Sort,5000,50,651,20000,concentrated,false
Counting Sort (Non-Stable),5000,100,31,404,uniform,false
Counting Sort (Stable),5000,100,20,20404,uniform,false
Radix Sort (LSD),5000,100,1055,40000,uniform,false
Bucket Sort,5000,100,460,40000,uniform,false
Flash Sort,5000,100,717,40000,uniform,false
Spread Sort,5000,100,1076,20000,uniform,false
Counting Sort (Non-Stable),5000,100,31,404,normal,false
Counting Sort (Stable),5000,100,20,20404,normal,false
Radix Sort (LSD),5000,100,1057,40000,normal,false
Bucket Sort,5000,100,415,40000,normal,false
Flash Sort,5000,100,697,40000,normal,false
Spread Sort,5000,100,1100,20000,normal,false
Counting Sort (Non-Stable),5000,100,35,404,skewed,false
Counting Sort (Stable),5000,100,20,20404,skewed,false
Radix Sort (LSD),5000,100,1180,40000,skewed,false
Bucket Sort,5000,100,400,40000,skewed,false
Flash Sort,5000,100,654,40000,skewed,false
Spread Sort,5000,100,1146,20000,skewed,false
Counting Sort (Non-Stable),5000,100,28,404,concentrated,false
Counting Sort (Stable),5000,100,20,20404,concentrated,false
Radix Sort (LSD),5000,100,1060,40000,concentrated,false
Bucket Sort,5000,100,432,40000,concentrated,false
Flash Sort,5000,100,561,40000,concentrated,false
Spread Sort,5000,100,1109,20000,concentrated,false
Counting Sort (Non-Stable),5000,500,37,2004,uniform,false
Counting Sort (Stable),5000,500,19,22004,uniform,false
Radix Sort (LSD),5000,500,1049,40000,uniform,false
Bucket Sort,5000,500,840,40000,uniform,false
Flash Sort,5000,500,1019,40000,uniform,false
Spread Sort,5000,500,1105,20000,uniform,false
Counting Sort (Non-Stable),5000,500,34,2004,normal,false
Counting Sort (Stable),5000,500,19,22004,normal,false
Radix Sort (LSD),5000,500,1050,40000,normal,false
Bucket Sort,5000,500,687,40000,normal,false
Flash Sort,5000,500,882,40000,normal,false
Spread Sort,5000,500,1360,20000,normal,false
Counting Sort (Non-Stable),5000,500,48,2004,skewed,false
Counting Sort (Stable),5000,500,20,22004,skewed,false
Radix Sort (LSD),5000,500,1128,40000,skewed,false
Bucket Sort,5000,500,1100,40000,skewed,false
Flash Sort,5000,500,1056,40000,skewed,false
Spread Sort,5000,500,1126,20000,skewed,false
Counting Sort (Non-Stable),5000,500,27,2004,concentrated,false
Counting Sort (Stable),5000,500,20,22004,concentrated,false
Radix Sort (LSD),5000,500,1036,40000,concentrated,false
Bucket Sort,5000,500,460,40000,concentrated,false
Flash Sort,5000,500,645,40000,concentrated,false
Spread Sort,5000,500,1123,20000,concentrated,false
Counting Sort (Non-Stable),5000,1000,44,4004,uniform,false
Counting Sort (Stable),5000,1000,21,24004,uniform,false
Radix Sort (LSD),5000,1000,1504,40000,uniform,false
Bucket Sort,5000,1000,1010,40000,uniform,false
Flash Sort,5000,1000,1053,40000,uniform,false
Spread Sort,5000,1000,1612,20000,uniform,false
Counting Sort (Non-Stable),5000,1000,43,4004,normal,false
Counting Sort (Stable),5000,1000,20,24004,normal,false
Radix Sort (LSD),5000,1000,1696,40000,normal,false
Bucket Sort,5000,1000,873,40000,normal,false
Flash Sort,5000,1000,900,40000,normal,false
Spread Sort,5000,1000,1315,20000,normal,false
Counting Sort (Non-Stable),5000,1000,46,4004,skewed,false
Counting Sort (Stable),5000,1000,16,24004,skewed,false
Radix Sort (LSD),5000,1000,1249,40000,skewed,false
Bucket Sort,5000,1000,983,40000,skewed,false
Flash Sort,5000,1000,904,40000,skewed,false
Spread Sort,5000,1000,1290,20000,skewed,false
Counting Sort (Non-Stable),5000,1000,24,4004,concentrated,false
Counting Sort (Stable),5000,1000,16,24004,concentrated,false
Radix Sort (LSD),5000,1000,1252,40000,concentrated,false
Bucket Sort,5000,1000,403,40000,concentrated,false
Flash Sort,5000,1000,570,40000,concentrated,false
Spread Sort,5000,1000,1167,20000,concentrated,false
Counting Sort (Non-Stable),5000,5000,74,20004,uniform,false
Counting Sort (Stable),5000,5000,46,40004,uniform,false
Radix Sort (LSD),5000,5000,1156,40000,uniform,false
Bucket Sort,5000,5000,973,40000,uniform,false
Flash Sort,5000,5000,772,40000,uniform,false
Spread Sort,5000,5000,1173,20000,uniform,false
Counting Sort (Non-Stable),5000,5000,67,20004,normal,false
Counting Sort (Stable),5000,5000,18,40004,normal,false
Radix Sort (LSD),5000,5000,1164,40000,normal,false
Bucket Sort,5000,5000,920,40000,normal,false
Flash Sort,5000,5000,741,40000,normal,false
Spread Sort,5000,5000,1171,20000,normal,false
Counting Sort (Non-Stable),5000,5000,78,20004,skewed,false
Counting Sort (Stable),5000,5000,18,40004,skewed,false
Radix Sort (LSD),5000,5000,1122,40000,skewed,false
Bucket Sort,5000,5000,980,40000,skewed,false
Flash Sort,5000,5000,711,40000,skewed,false
Spread Sort,5000,5000,1117,20000,skewed,false
Counting Sort (Non-Stable),5000,5000,43,20004,concentrated,false
Counting Sort (Stable),5000,5000,18,40004,concentrated,false
Radix Sort (LSD),5000,5000,1079,40000,concentrated,false
Bucket Sort,5000,5000,548,40000,concentrated,false
Flash Sort,5000,5000,712,40000,concentrated,false
Spread Sort,5000,5000,1116,20000,concentrated,false
Counting Sort (Non-Stable),5000,10000,104,40004,uniform,false
Counting Sort (Stable),5000,10000,47,60004,uniform,false
Radix Sort (LSD),5000,10000,1557,40000,uniform,false
Bucket Sort,5000,10000,974,40000,uniform,false
Flash Sort,5000,10000,742,40000,uniform,false
Spread Sort,5000,10000,1409,20000,uniform,false
Counting Sort (Non-Stable),5000,10000,104,40004,normal,false
Counting Sort (Stable),5000,10000,70,60004,normal,false
Radix Sort (LSD),5000,10000,1405,40000,normal,false
Bucket Sort,5000,10000,850,40000,normal,false
Flash Sort,5000,10000,686,40000,normal,false
Spread Sort,5000,10000,1386,20000,normal,false
Counting Sort (Non-Stable),5000,10000,124,40000,skewed,false
Counting Sort (Stable),5000,10000,43,60000,skewed,false
Radix Sort (LSD),5000,10000,1008,40000,skewed,false
Bucket Sort,5000,10000,826,40000,skewed,false
Flash Sort,5000,10000,698,40000,skewed,false
Spread Sort,5000,10000,1034,20000,skewed,false
Counting Sort (Non-Stable),5000,10000,72,40004,concentrated,false
Counting Sort (Stable),5000,10000,43,60004,concentrated,false
Radix Sort (LSD),5000,10000,1301,40000,concentrated,false
Bucket Sort,5000,10000,645,40000,concentrated,false
Flash Sort,5000,10000,680,40000,concentrated,false
Spread Sort,5000,10000,1391,20000,concentrated,false
Counting Sort (Non-Stable),5000,100000,291,399936,uniform,false
Counting Sort (Stable),5000,100000,89,419936,uniform,false
Radix Sort (LSD),5000,100000,1391,40000,uniform,false
Bucket Sort,5000,100000,836,40000,uniform,false
Flash Sort,5000,100000,668,40000,uniform,false
Spread Sort,5000,100000,403,20000,uniform,false
Counting Sort (Non-Stable),5000,100000,253,400004,normal,false
Counting Sort (Stable),5000,100000,95,420004,normal,false
Radix Sort (LSD),5000,100000,1637,40000,normal,false
Bucket Sort,5000,100000,852,40000,normal,false
Flash Sort,5000,100000,657,40000,normal,false
Spread Sort,5000,100000,399,20000,normal,false
Counting Sort (Non-Stable),5000,100000,233,307700,skewed,false
Counting Sort (Stable),5000,100000,68,327700,skewed,false
Radix Sort (LSD),5000,100000,1376,40000,skewed,false
Bucket Sort,5000,100000,797,40000,skewed,false
Flash Sort,5000,100000,605,40000,skewed,false
Spread Sort,5000,100000,382,20000,skewed,false
Counting Sort (Non-Stable),5000,100000,248,400004,concentrated,false
Counting Sort (Stable),5000,100000,139,420004,concentrated,false
Radix Sort (LSD),5000,100000,1591,40000,concentrated,false
Bucket Sort,5000,100000,812,40000,concentrated,false
Flash Sort,5000,100000,736,40000,concentrated,false
Spread Sort,5000,100000,389,20000,concentrated,false
Counting Sort (Non-Stable),10000,50,34,204,uniform,false
Counting Sort (Stable),10000,50,24,40204,uniform,false
Radix Sort (LSD),10000,50,792,80000,uniform,false
Bucket Sort,10000,50,445,80000,uniform,false
Flash Sort,10000,50,734,80000,uniform,false
Spread Sort,10000,50,827,40000,uniform,false
Counting Sort (Non-Stable),10000,50,34,204,normal,false
Counting Sort (Stable),10000,50,24,40204,normal,false
Radix Sort (LSD),10000,50,795,80000,normal,false
Bucket Sort,10000,50,402,80000,normal,false
Flash Sort,10000,50,718,80000,normal,false
Spread Sort,10000,50,849,40000,normal,false
Counting Sort (Non-Stable),10000,50,36,204,skewed,false
Counting Sort (Stable),10000,50,24,40204,skewed,false
Radix Sort (LSD),10000,50,809,80000,skewed,false
Bucket Sort,10000,50,397,80000,skewed,false
Flash Sort,10000,50,704,80000,skewed,false
Spread Sort,10000,50,836,40000,skewed,false
Counting Sort (Non-Stable),10000,50,34,204,concentrated,false
Counting Sort (Stable),10000,50,24,40204,concentrated,false
Radix Sort (LSD),10000,50,784,80000,concentrated,false
Bucket Sort,10000,50,433,80000,concentrated,false
Flash Sort,10000,50,698,80000,concentrated,false
Spread Sort,10000,50,811,40000,concentrated,false
Counting Sort (Non-Stable),10000,100,41,404,uniform,false
Counting Sort (Stable),10000,100,52,40404,uniform,false
Radix Sort (LSD),10000,100,1361,80000,uniform,false
Bucket Sort,10000,100,489,80000,uniform,false
Flash Sort,10000,100,900,80000,uniform,false
Spread Sort,10000,100,1455,40000,uniform,false
Counting Sort (Non-Stable),10000,100,35,404,normal,false
Counting Sort (Stable),10000,100,24,40404,normal,false
Radix Sort (LSD),10000,100,1394,80000,normal,false
Bucket Sort,10000,100,423,80000,normal,false
Flash Sort,10000,100,742,80000,normal,false
Spread Sort,10000,100,1427,40000,normal,false
Counting Sort (Non-Stable),10000,100,33,404,skewed,false
Counting Sort (Stable),10000,100,32,40404,skewed,false
Radix Sort (LSD),10000,100,1334,80000,skewed,false
Bucket Sort,10000,100,463,80000,skewed,false
Flash Sort,10000,100,724,80000,skewed,false
Spread Sort,10000,100,1388,40000,skewed,false
Counting Sort (Non-Stable),10000,100,32,404,concentrated,false
Counting Sort (Stable),10000,100,24,40404,concentrated,false
Radix Sort (LSD),10000,100,1348,80000,concentrated,false
Bucket Sort,10000,100,359,80000,concentrated,false
Flash Sort,10000,100,701,80000,concentrated,false
Spread Sort,10000,100,1358,40000,concentrated,false
Counting Sort (Non-Stable),10000,500,37,2004,uniform,false
Counting Sort (Stable),10000,500,24,42004,uniform,false
Radix Sort (LSD),10000,500,1436,80000,uniform,false
Bucket Sort,10000,500,848,80000,uniform,false
Flash Sort,10000,500,1154,80000,uniform,false
Spread Sort,10000,500,1493,40000,uniform,false
Counting Sort (Non-Stable),10000,500,40,2004,normal,false
Counting Sort (Stable),10000,500,25,42004,normal,false
Radix Sort (LSD),10000,500,1443,80000,normal,false
Bucket Sort,10000,500,662,80000,normal,false
Flash Sort,10000,500,1038,80000,normal,false
Spread Sort,10000,500,1478,40000,normal,false
Counting Sort (Non-Stable),10000,500,48,2004,skewed,false
Counting Sort (Stable),10000,500,49,42004,skewed,false
Radix Sort (LSD),10000,500,1385,80000,skewed,false
Bucket Sort,10000,500,742,80000,skewed,false
Flash Sort,10000,500,1135,80000,skewed,false
Spread Sort,10000,500,1511,40000,skewed,false
Counting Sort (Non-Stable),10000,500,42,2004,concentrated,false
Counting Sort (Stable),10000,500,46,42004,concentrated,false
Radix Sort (LSD),10000,500,1427,80000,concentrated,false
Bucket Sort,10000,500,444,80000,concentrated,false
Flash Sort,10000,500,712,80000,concentrated,false
Spread Sort,10000,500,1409,40000,concentrated,false
Counting Sort (Non-Stable),10000,1000,47,4004,uniform,false
Counting Sort (Stable),10000,1000,27,44004,uniform,false
Radix Sort (LSD),10000,1000,1957,80000,uniform,false
Bucket Sort,10000,1000,991,80000,uniform,false
Flash Sort,10000,1000,1289,80000,uniform,false
Spread Sort,10000,1000,2025,40000,uniform,false
Counting Sort (Non-Stable),10000,1000,44,4004,normal,false
Counting Sort (Stable),10000,1000,26,44004,normal,false
Radix Sort (LSD),10000,1000,1947,80000,normal,false
Bucket Sort,10000,1000,833,80000,normal,false
Flash Sort,10000,1000,1163,80000,normal,false
Spread Sort,10000,1000,1990,40000,normal,false
Counting Sort (Non-Stable),10000,1000,68,4004,skewed,false
Counting Sort (Stable),10000,1000,63,44004,skewed,false
Radix Sort (LSD),10000,1000,1876,80000,skewed,false
Bucket Sort,10000,1000,964,80000,skewed,false
Flash Sort,10000,1000,1256,80000,skewed,false
Spread Sort,10000,1000,1877,40000,skewed,false
Counting Sort (Non-Stable),10000,1000,47,4004,concentrated,false
Counting Sort (Stable),10000,1000,55,44004,concentrated,false
Radix Sort (LSD),10000,1000,1862,80000,concentrated,false
Bucket Sort,10000,1000,490,80000,concentrated,false
Flash Sort,10000,1000,770,80000,concentrated,false
Spread Sort,10000,1000,1882,40000,concentrated,false
Counting Sort (Non-Stable),10000,5000,99,20004,uniform,false
Counting Sort (Stable),10000,5000,33,60004,uniform,false
Radix Sort (LSD),10000,5000,1834,80000,uniform,false
Bucket Sort,10000,5000,1404,80000,uniform,false
Flash Sort,10000,5000,1352,80000,uniform,false
Spread Sort,10000,5000,2342,40000,uniform,false
Counting Sort (Non-Stable),10000,5000,85,20004,normal,false
Counting Sort (Stable),10000,5000,44,60004,normal,false
Radix Sort (LSD),10000,5000,1938,80000,normal,false
Bucket Sort,10000,5000,1410,80000,normal,false
Flash Sort,10000,5000,1316,80000,normal,false
Spread Sort,10000,5000,2141,40000,normal,false
Counting Sort (Non-Stable),10000,5000,95,20004,skewed,false
Counting Sort (Stable),10000,5000,50,60004,skewed,false
Radix Sort (LSD),10000,5000,2114,80000,skewed,false
Bucket Sort,10000,5000,1609,80000,skewed,false
Flash Sort,10000,5000,1802,80000,skewed,false
Spread Sort,10000,5000,3985,40000,skewed,false
Counting Sort (Non-Stable),10000,5000,83,20004,concentrated,false
Counting Sort (Stable),10000,5000,65,60004,concentrated,false
Radix Sort (LSD),10000,5000,2619,80000,concentrated,false
Bucket Sort,10000,5000,751,80000,concentrated,false
Flash Sort,10000,5000,1129,80000,concentrated,false
Spread Sort,10000,5000,2168,40000,concentrated,false
Counting Sort (Non-Stable),10000,10000,138,40000,uniform,false
Counting Sort (Stable),10000,10000,42,80000,uniform,false
Radix Sort (LSD),10000,10000,2040,80000,uniform,false
Bucket Sort,10000,10000,1680,80000,uniform,false
Flash Sort,10000,10000,1450,80000,uniform,false
Spread Sort,10000,10000,2097,40000,uniform,false
Counting Sort (Non-Stable),10000,10000,129,40004,normal,false
Counting Sort (Stable),10000,10000,81,80004,normal,false
Radix Sort (LSD),10000,10000,2601,80000,normal,false
Bucket Sort,10000,10000,1532,80000,normal,false
Flash Sort,10000,10000,1263,80000,normal,false
Spread Sort,10000,10000,2600,40000,normal,false
Counting Sort (Non-Stable),10000,10000,126,40004,skewed,false
Counting Sort (Stable),10000,10000,40,80004,skewed,false
Radix Sort (LSD),10000,10000,2487,80000,skewed,false
Bucket Sort,10000,10000,1707,80000,skewed,false
Flash Sort,10000,10000,1379,80000,skewed,false
Spread Sort,10000,10000,2579,40000,skewed,false
Counting Sort (Non-Stable),10000,10000,82,40004,concentrated,false
Counting Sort (Stable),10000,10000,79,80004,concentrated,false
Radix Sort (LSD),10000,10000,2479,80000,concentrated,false
Bucket Sort,10000,10000,918,80000,concentrated,false
Flash Sort,10000,10000,1229,80000,concentrated,false
Spread Sort,10000,10000,2501,40000,concentrated,false
Counting Sort (Non-Stable),10000,100000,327,399972,uniform,false
Counting Sort (Stable),10000,100000,165,439972,uniform,false
Radix Sort (LSD),10000,100000,2504,80000,uniform,false
Bucket Sort,10000,100000,2118,80000,uniform,false
Flash Sort,10000,100000,1400,80000,uniform,false
Spread Sort,10000,100000,2606,40000,uniform,false
Counting Sort (Non-Stable),10000,100000,317,400004,normal,false
Counting Sort (Stable),10000,100000,108,440004,normal,false
Radix Sort (LSD),10000,100000,3165,80000,normal,false
Bucket Sort,10000,100000,1572,80000,normal,false
Flash Sort,10000,100000,1305,80000,normal,false
Spread Sort,10000,100000,836,40000,normal,false
Counting Sort (Non-Stable),10000,100000,296,354852,skewed,false
Counting Sort (Stable),10000,100000,97,394852,skewed,false
Radix Sort (LSD),10000,100000,2821,80000,skewed,false
Bucket Sort,10000,100000,1347,80000,skewed,false
Flash Sort,10000,100000,1175,80000,skewed,false
Spread Sort,10000,100000,2597,40000,skewed,false
Counting Sort (Non-Stable),10000,100000,291,399964,concentrated,false
Counting Sort (Stable),10000,100000,112,439964,concentrated,false
Radix Sort (LSD),10000,100000,2596,80000,concentrated,false
Bucket Sort,10000,100000,1623,80000,concentrated,false
Flash Sort,10000,100000,1338,80000,concentrated,false
Spread Sort,10000,100000,2582,40000,concentrated,false
