Algorithm,ArraySize,ValueRange,ExecutionTime_us,MemoryUsed_bytes,Distribution,EdgeCase
Spread Sort,100,5000,10,400,skewed,false
Counting Sort (Non-Stable),100,5000,11,19964,concentrated,false
Counting Sort (Stable),100,5000,7,20364,concentrated,false
Radix Sort (LSD),100,5000,39,800,concentrated,false
Bucket Sort,100,5000,28,800,concentrated,false
Flash Sort,100,5000,30,800,concentrated,false
Spread Sort,100,5000,8,400,concentrated,false
Counting Sort (Non-Stable),100,10000,71,39668,uniform,false
Counting Sort (Stable),100,10000,61,40068,uniform,false
Radix Sort (LSD),100,10000,40,800,uniform,false
Bucket Sort,100,10000,34,800,uniform,false
Flash Sort,100,10000,32,800,uniform,false
Spread Sort,100,10000,9,400,uniform,false
Counting Sort (Non-Stable),100,10000,69,36748,normal,false
Counting Sort (Stable),100,10000,58,37148,normal,false
Radix Sort (LSD),100,10000,40,800,normal,false
Bucket Sort,100,10000,33,800,normal,false
Flash Sort,100,10000,29,800,normal,false
Spread Sort,100,10000,9,400,normal,false
Counting Sort (Non-Stable),100,10000,67,39920,skewed,false
Counting Sort (Stable),100,10000,94,40320,skewed,false
Radix Sort (LSD),100,10000,40,800,skewed,false
Bucket Sort,100,10000,33,800,skewed,false
Flash Sort,100,10000,30,800,skewed,false
Spread Sort,100,10000,9,400,skewed,false
Counting Sort (Non-Stable),100,10000,68,39644,concentrated,false
Counting Sort (Stable),100,10000,58,40044,concentrated,false
Radix Sort (LSD),100,10000,41,800,concentrated,false
Bucket Sort,100,10000,34,800,concentrated,false
Flash Sort,100,10000,29,800,concentrated,false
Spread Sort,100,10000,9,400,concentrated,false
Counting Sort (Non-Stable),100,100000,403,398144,uniform,false
Counting Sort (Stable),100,100000,117,398544,uniform,false
Radix Sort (LSD),100,100000,53,800,uniform,false
Bucket Sort,100,100000,106,800,uniform,false
Flash Sort,100,100000,39,800,uniform,false
Spread Sort,100,100000,10,400,uniform,false
Counting Sort (Non-Stable),100,100000,363,345556,normal,false
Counting Sort (Stable),100,100000,101,345956,normal,false
Radix Sort (LSD),100,100000,52,800,normal,false
Bucket Sort,100,100000,109,800,normal,false
Flash Sort,100,100000,38,800,normal,false
Spread Sort,100,100000,10,400,normal,false
Counting Sort (Non-Stable),100,100000,175,119568,skewed,false
Counting Sort (Stable),100,100000,37,119968,skewed,false
Radix Sort (LSD),100,100000,52,800,skewed,false
Bucket Sort,100,100000,61,800,skewed,false
Flash Sort,100,100000,36,800,skewed,false
Spread Sort,100,100000,10,400,skewed,false
Counting Sort (Non-Stable),100,100000,382,390644,concentrated,false
Counting Sort (Stable),100,100000,115,391044,concentrated,false
Radix Sort (LSD),100,100000,53,800,concentrated,false
Bucket Sort,100,100000,123,800,concentrated,false
Flash Sort,100,100000,39,800,concentrated,false
Spread Sort,100,100000,10,400,concentrated,false
Counting Sort (Non-Stable),500,50,4,204,uniform,false
Counting Sort (Stable),500,50,3,2204,uniform,false
Radix Sort (LSD),500,50,82,4000,uniform,false
Bucket Sort,500,50,108,4000,uniform,false
Flash Sort,500,50,129,4000,uniform,false
Spread Sort,500,50,79,2000,uniform,false
Counting Sort (Non-Stable),500,50,3,204,normal,false
Counting Sort (Stable),500,50,3,2204,normal,false
Radix Sort (LSD),500,50,73,4000,normal,false
Bucket Sort,500,50,90,4000,normal,false
Flash Sort,500,50,102,4000,normal,false
Spread Sort,500,50,73,2000,normal,false
Counting Sort (Non-Stable),500,50,4,204,skewed,false
Counting Sort (Stable),500,50,4,2204,skewed,false
Radix Sort (LSD),500,50,90,4000,skewed,false
Bucket Sort,500,50,83,4000,skewed,false
Flash Sort,500,50,105,4000,skewed,false
Spread Sort,500,50,72,2000,skewed,false
Counting Sort (Non-Stable),500,50,3,204,concentrated,false
Counting Sort (Stable),500,50,3,2204,concentrated,false
Radix Sort (LSD),500,50,72,4000,concentrated,false
Bucket Sort,500,50,55,4000,concentrated,false
Flash Sort,500,50,90,4000,concentrated,false
Spread Sort,500,50,78,2000,concentrated,false
Counting Sort (Non-Stable),500,100,4,404,uniform,false
Counting Sort (Stable),500,100,3,2404,uniform,false
Radix Sort (LSD),500,100,125,4000,uniform,false
Bucket Sort,500,100,118,4000,uniform,false
Flash Sort,500,100,117,4000,uniform,false
Spread Sort,500,100,129,2000,uniform,false
Counting Sort (Non-Stable),500,100,4,388,normal,false
Counting Sort (Stable),500,100,4,2388,normal,false
Radix Sort (LSD),500,100,71,4000,normal,false
Bucket Sort,500,100,94,4000,normal,false
Flash Sort,500,100,110,4000,normal,false
Spread Sort,500,100,74,2000,normal,false
Counting Sort (Non-Stable),500,100,5,404,skewed,false
Counting Sort (Stable),500,100,3,2404,skewed,false
Radix Sort (LSD),500,100,125,4000,skewed,false
Bucket Sort,500,100,113,4000,skewed,false
Flash Sort,500,100,116,4000,skewed,false
Spread Sort,500,100,139,2000,skewed,false
Counting Sort (Non-Stable),500,100,3,404,concentrated,false
Counting Sort (Stable),500,100,3,2404,concentrated,false
Radix Sort (LSD),500,100,127,4000,concentrated,false
Bucket Sort,500,100,68,4000,concentrated,false
Flash Sort,500,100,104,4000,concentrated,false
Spread Sort,500,100,131,2000,concentrated,false
Counting Sort (Non-Stable),500,500,10,2004,uniform,false
Counting Sort (Stable),500,500,5,4004,uniform,false
Radix Sort (LSD),500,500,128,4000,uniform,false
Bucket Sort,500,500,162,4000,uniform,false
Flash Sort,500,500,117,4000,uniform,false
Spread Sort,500,500,127,2000,uniform,false
Counting Sort (Non-Stable),500,500,9,1824,normal,false
Counting Sort (Stable),500,500,4,3824,normal,false
Radix Sort (LSD),500,500,126,4000,normal,false
Bucket Sort,500,500,138,4000,normal,false
Flash Sort,500,500,135,4000,normal,false
Spread Sort,500,500,130,2000,normal,false
Counting Sort (Non-Stable),500,500,10,2000,skewed,false
Counting Sort (Stable),500,500,5,4000,skewed,false
Radix Sort (LSD),500,500,127,4000,skewed,false
Bucket Sort,500,500,170,4000,skewed,false
Flash Sort,500,500,120,4000,skewed,false
Spread Sort,500,500,127,2000,skewed,false
Counting Sort (Non-Stable),500,500,5,2004,concentrated,false
Counting Sort (Stable),500,500,4,4004,concentrated,false
Radix Sort (LSD),500,500,125,4000,concentrated,false
Bucket Sort,500,500,79,4000,concentrated,false
Flash Sort,500,500,102,4000,concentrated,false
Spread Sort,500,500,128,2000,concentrated,false
Counting Sort (Non-Stable),500,1000,13,3988,uniform,false
Counting Sort (Stable),500,1000,5,5988,uniform,false
Radix Sort (LSD),500,1000,127,4000,uniform,false
Bucket Sort,500,1000,152,4000,uniform,false
Flash Sort,500,1000,108,4000,uniform,false
Spread Sort,500,1000,126,2000,uniform,false
Counting Sort (Non-Stable),500,1000,11,4004,normal,false
Counting Sort (Stable),500,1000,5,6004,normal,false
Radix Sort (LSD),500,1000,184,4000,normal,false
Bucket Sort,500,1000,142,4000,normal,false
Flash Sort,500,1000,220,4000,normal,false
Spread Sort,500,1000,299,2000,normal,false
Counting Sort (Non-Stable),500,1000,19,4000,skewed,false
Counting Sort (Stable),500,1000,8,6000,skewed,false
Radix Sort (LSD),500,1000,228,4000,skewed,false
Bucket Sort,500,1000,267,4000,skewed,false
Flash Sort,500,1000,144,4000,skewed,false
Spread Sort,500,1000,128,2000,skewed,false
Counting Sort (Non-Stable),500,1000,7,4004,concentrated,false
Counting Sort (Stable),500,1000,5,6004,concentrated,false
Radix Sort (LSD),500,1000,183,4000,concentrated,false
Bucket Sort,500,1000,107,4000,concentrated,false
Flash Sort,500,1000,116,4000,concentrated,false
Spread Sort,500,1000,203,2000,concentrated,false
Counting Sort (Non-Stable),500,5000,44,19964,uniform,false
Counting Sort (Stable),500,5000,39,21964,uniform,false
Radix Sort (LSD),500,5000,183,4000,uniform,false
Bucket Sort,500,5000,160,4000,uniform,false
Flash Sort,500,5000,123,4000,uniform,false
Spread Sort,500,5000,183,2000,uniform,false
Counting Sort (Non-Stable),500,5000,43,20004,normal,false
Counting Sort (Stable),500,5000,37,22004,normal,false
Radix Sort (LSD),500,5000,184,4000,normal,false
Bucket Sort,500,5000,144,4000,normal,false
